Nº da ordem;Texto breve;Operação;Texto breve operação;Centro de trabalho;Centro de trabalho Reponsável;Código ABC;Condições da instalação;Nº do equipamento;Centro de trabalho;Local de instalação;Plano de manutenção;Status do Sistema Operação;Status do sistema;Status do usuário;Data-base do início;Data-base do fim;Início Programado;Fim Programado;Data de início real;Hora de início real;Data de fim real;Hora de fim real;Trabalho real;Trabalho da operação;Unidade de trabalho;Data de entrada;Data de referência;Tipo de ordem;Nº da nota;Tipo de nota;Centro;Data da nota;Hora da nota;Data de encerramento da nota;Hora de encerramento da nota;Data de início da avaria;Hora de início da avaria;Data de fim da avaria;Hora de fim da avaria;Duração da parada;Status da nota;Sintoma do dano;Texto breve do dano;Código da causa;Texto breve da causa;Texto longo da causa;Hora início cent.trab.;Hora fim cent.trab.;Capacidade cent.trab.;Tipo de Atividade de Manutenção;Denominação TAM;Custos Planejados;Custos Reais;Moeda;Nº conta do Razão;Centro de custo receptor;Grupo Códigos;Parte do objeto;Nome responsável controle técnico;Código medidas;Texto descritivo medidas;Código de ação;Texto descritivo ações;Texto breve nota;Texto Parte do objeto
4199708;Alarme stop não libera;10;* Alarme stop não libera * Joao Mattos de 06/01/2025 09:45 até 06/01/2025 10:00 * Chamado errado: * Operador comentou que o botão estava Travado, e depois voltou a funcionar. * Foi aberto M1 para corrigir o problema.;LIDER_FA;LIDER_FA;E;;TOR037;TOR037;1000-FABCE-USINA;;CONF ENTE IMPR;ENTE CONF IMPR NOLQ SCDM;EXEC;06/01/2025;06/01/2025;06/01/2025;06/01/2025;06/01/2025;09:45:00;06/01/2025;10:00:00;0,250;0,0;H;06/01/2025;06/01/2025;PM03;10334726;M2;1000;06/01/2025;07:24:11;06/01/2025;10:17:26;06/01/2025;07:24:11;06/01/2025;09:00:00;0,00;MSEN MSIM ORDA;2017;NÃO ACIONA;303;Erro de chamado;ZPM-APF 303;07:00:00;16:28:00;5,50;003;Reparação;0,00;0,00;;0031102902;PB2-81140;;;;;;;;Alarme stop não libera;
4199709;falta de óleo;10;* falta de óleo * Ederson Amaral de 06/01/2025 09:30 até 06/01/2025 10:00 * nível normal,erro operacional;LIDER_SL;LIDER_SL;A;;PVI030;PVI030;1000-FABSL-SLEST;;CONF ENTE IMPR;ENTE CONF IMPR NOLQ SCDM;EXEC;06/01/2025;06/01/2025;06/01/2025;06/01/2025;06/01/2025;09:30:00;06/01/2025;10:00:00;0,500;0,0;H;06/01/2025;06/01/2025;PM03;10334728;M2;1000;06/01/2025;07:28:35;06/01/2025;16:38:52;06/01/2025;07:28:35;06/01/2025;10:00:00;0,00;MSEN MSIM ORDA;2026;NÃO MARCA PRESSÃO;303;Erro de chamado;ZPM-APF 303;07:00:00;16:28:00;5,50;003;Reparação;0,00;0,00;;0031102902;PB2-81230;;;;;;;;falta de óleo;
4199710;punção baixo;10;* punção baixo * Ederson Amaral de 06/01/2025 08:00 até 06/01/2025 09:30 * iniciado os teste de pressão e troca do cilindro do punção * Ederson Amaral de 06/01/2025 10:00 até 06/01/2025 12:20 * teste de pressão * Ederson Amaral de 06/01/2025 13:25 até 06/01/2025 16:40 * trocado o cilindro do punção e ajustado altura,testado ,ok ,operador testou;LIDER_SL;LIDER_SL;F;;PHI026;;1000-FABSL-SLEST;;CNPA ENTE IMPR;ENTE CNPA IMPR NOLQ SCDM;EXEC;06/01/2025;06/01/2025;06/01/2025;06/01/2025;06/01/2025;07:10:00;06/01/2025;16:40:00;21,417;0,0;H;06/01/2025;06/01/2025;PM03;10334727;M2;1000;06/01/2025;07:26:16;06/01/2025;16:44:19;06/01/2025;07:26:16;06/01/2025;16:40:00;9,23;MSEN MSIM ORDA;2026;NÃO MARCA PRESSÃO;1016;DESAJUSTE MECÂNICO;ZPM-GER 1016;00:00:00;00:00:00;0,00;003;Reparação;0,00;0,00;;0031102902;PB2-81230;;;;;;;;punção baixo;
4199711;Ajuste do Boiler;10;* Ajuste do Boiler * Joao Mattos de 06/01/2025 08:40 até 06/01/2025 09:40 * Auxiliando Caludiomiro nas atividades de manutenção. * Claudiomiro Silva de 06/01/2025 08:01 até 06/01/2025 11:40 * Sistema contaminado com oleiana , realizado limpeza no queimador , montado , testado equipamento junto operacional;LIDER_FA;LIDER_FA;A;;LDS002;LPP001;1000-FABCE-PINPO;;CNPA ENTE IMPR;ENTE CNPA IMPR NOLQ SCDM;EXEC;06/01/2025;06/01/2025;06/01/2025;06/01/2025;06/01/2025;08:01:00;06/01/2025;11:40:00;5,483;0,0;H;06/01/2025;06/01/2025;PM03;10334729;M2;1000;06/01/2025;07:30:52;06/01/2025;11:42:44;06/01/2025;07:30:52;06/01/2025;11:40:00;4,15;MSEN MSIM ORDA;2017;NÃO ACIONA;1073;SUJEIRA;ZPM-GER 1073;07:00:00;16:28:00;5,50;003;Reparação;0,00;0,00;;0031102902;PB2-81180;;;;;;;;Ajuste do Boiler;
4199776;Máquina não está ligando;10;* Máquina não está ligando * Marcos Selle de 02/01/2025 07:15 até 02/01/2025 08:01 * máquina não estava ligando, identificado falha no estabilizador devido a queda de energia. reiniciado estabilizador, falha foi * resetada, testado e liberado equipamento para produção.;LIDER_FA;LIDER_FA;A;;LAS006;LAS006;1000-FABCE-ELEST;;CONF ENTE IMPR;ENTE CONF IMPR NOLQ SCDM;EXEC;02/01/2025;02/01/2025;02/01/2025;02/01/2025;02/01/2025;07:15:00;02/01/2025;08:01:00;0,767;0,0;H;02/01/2025;02/01/2025;PM03;10334059;M2;1000;02/01/2025;07:22:30;02/01/2025;08:04:24;02/01/2025;07:22:30;02/01/2025;08:01:00;0,00;MSEN MSIM ORDA;2025;NÃO LIGA;101;Falta de energia elétrica;ZPM-AIA 101;07:00:00;16:28:00;7,20;003;Reparação;0,00;0,00;;0031102902;PB2-81630;;;;;;;;Máquina não está ligando;
4199781;punção baixo;10;* punção baixo * * Foi realizado conserto na ordem  4199710. * * Rafael H.;LIDER_SL;LIDER_SL;F;;PHI026;;1000-FABSL-SLEST;;ENTE IMPR;ENCE IMPR NOLQ SCDM;EXEC;02/01/2025;02/01/2025;02/01/2025;02/01/2025;;00:00:00;;00:00:00;0,000;0,0;H;02/01/2025;07/01/2025;PM03;10334061;M2;1000;02/01/2025;07:29:09;07/01/2025;08:44:18;02/01/2025;07:29:09;02/01/2025;07:35:00;0,10;MSEN MSIM ORDA;;;;;;00:00:00;00:00:00;0,00;003;Reparação;0,00;0,00;;0031102902;PB2-81230;;;;;;;;punção baixo;
4199784;maquina não ponteia;10;* maquina não ponteia * Claudiomiro Silva de 02/01/2025 08:30 até 02/01/2025 12:10 * Ajustado posição de aperto freio pneumático, realizado limpeza nos filtros os mesmos estavam com água no sistema, troca de óleo * lubrifil, colocado uma válvula reguladora de pressão no cilindro retardando o sinal de elétrico para freio, em andamento * Claudiomiro Silva de 02/01/2025 14:42 até 02/01/2025 16:20 * Acompanhamento no processo , ajustado válvula reguladora, realizado teste operacional, em andamento * Anderson Santos de 02/01/2025 07:30 até 02/01/2025 13:30 * limpeza do circuito pneumático, retirado água do sistema realizado lubrificação do cilindro e conjunto lubrifil , limpeza da * válvula do freio ajuste da mesma * Anderson Santos de 02/01/2025 14:30 até 02/01/2025 16:45 * ajuste na válvula do freio * Angelo Brust de 02/01/2025 16:10 até 02/01/2025 17:10 * acompanhamento de operação * Angelo Brust de 03/01/2025 00:30 até 03/01/2025 01:18 * escapou mangueira da válvula de segurança foi recolocada a válvula e foi necessário substituir a conexão que vai no cilindro do * freio pois ao retirar e lubrificar acabou danificando.;LIDER_FA;LIDER_FA;A;;PHI008;PHI008;1000-FABCE-ELEST;;CONF ENTE IMPR;ENTE CONF IMPR DMNV NOLQ SCDM;EXEC;02/01/2025;02/01/2025;02/01/2025;03/01/2025;02/01/2025;07:30:00;03/01/2025;01:18:00;15,350;0,0;H;02/01/2025;08/01/2025;PM03;10334071;M2;1000;02/01/2025;07:52:59;03/01/2025;01:18:49;02/01/2025;07:52:59;03/01/2025;01:18:00;17,42;MSEN MSIM ORDA;2017;NÃO ACIONA;1026;EMPERRAMENTO;ZPM-GER 1026;07:00:00;16:28:00;5,08;003;Reparação;0,00;0,00;;0031102902;PB2-81630;;;;;;;;maquina não ponteia;
4199785;Parou e não aceita os comandos;10;* Parou e não aceita os comandos * Claudiomiro Silva de 02/01/2025 08:01 até 02/01/2025 08:25 * Falta de ar comprimido no sistema, compressor;LIDER_FA;LIDER_FA;E;;PVI037;PVI037;1000-FABCE-ELEST;;CONF ENTE IMPR;ENTE CONF IMPR NOLQ SCDM;AGLE;02/01/2025;02/01/2025;02/01/2025;02/01/2025;02/01/2025;08:01:00;02/01/2025;08:25:00;0,400;0,0;H;02/01/2025;02/01/2025;PM03;10334072;M2;1000;02/01/2025;07:53:32;02/01/2025;18:50:33;02/01/2025;07:53:32;02/01/2025;08:25:00;0,00;MSEN MSIM ORDA;2017;NÃO ACIONA;101;Falta de energia elétrica;Falta de ar no sistema;07:00:00;16:28:00;5,50;003;Reparação;0,00;0,00;;0031102902;PB2-81630;;;;;;;;Parou e não aceita os comandos;
4199790;calibrar;10;* calibrar * Tobias Roehrs de 02/01/2025 16:15 até 02/01/2025 19:40 * trocado tampão do cilindro e colocado óleo e testado;LIDER_SL;LIDER_SL;F;;PHI026;;1000-FABSL-SLEST;;CONF ENTE IMPR;ENTE CONF IMPR DMNV NOLQ SCDM;AGLE;02/01/2025;02/01/2025;02/01/2025;02/01/2025;02/01/2025;16:15:00;02/01/2025;19:40:00;3,417;0,0;H;02/01/2025;03/01/2025;PM03;10334074;M2;1000;02/01/2025;07:57:48;03/01/2025;16:31:49;02/01/2025;07:57:48;02/01/2025;19:40:00;11,70;MSEN MSIM ORDA;2032;VAZAMENTO;1077;VAZAMENTO;ZPM-GER 1077;00:00:00;00:00:00;0,00;003;Reparação;0,00;0,00;;0031102902;PB2-81230;;;;;;;;calibrar;
4199815;não desliga o vacuo das ventosa;10;* não desliga o vacuo das ventosa * Claudiomiro Silva de 02/01/2025 12:12 até 02/01/2025 13:10 * Verificado válvulas de acionamento , realizado limpeza no conjunto , em andamento * Angelo Brust de 02/01/2025 23:00 até 03/01/2025 00:30 * foi limpar as válvulas do sistema de vácuo identificado vedação virada na válvula que purga o vácuo após feita a reversão testada * liberada equipamento;LIDER_FA;LIDER_FA;A;;ROM001;CFC001;1000-FABCE-ELEST;;CONF ENTE IMPR;ENTE CONF IMPR NOLQ SCDM;EXEC;02/01/2025;02/01/2025;02/01/2025;02/01/2025;02/01/2025;12:12:00;03/01/2025;00:30:00;2,467;0,0;H;02/01/2025;03/01/2025;PM03;10334553;M2;1000;02/01/2025;09:30:06;03/01/2025;01:17:33;02/01/2025;09:30:06;03/01/2025;00:30:00;15,00;MSEN MSIM ORDA;2017;NÃO ACIONA;1022;DESGASTE VEDAÇÕES;ZPM-GER 1022;07:00:00;16:28:00;6,35;003;Reparação;0,00;0,00;;0031102902;PB2-81630;;;;;;;;não desliga o vacuo das ventosa;
